epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.284865,0,34.3127,0,0.64965,0.6,0.59268,0.26613,2.03585,2.0434,1.48388,0,0,0
2,0.694818,0,43.9107,0,0.70835,0.6,0.58447,0.26409,2.03947,2.03798,1.49851,1.17822e-06,1.17822e-06,1.17822e-06
3,1.08474,0,38.8655,0,0.71589,0.6,0.60106,0.26852,2.05691,2.00624,1.5064,2.33288e-06,2.33288e-06,2.33288e-06
4,1.4548,0,42.9721,0,0.71508,0.6,0.62032,0.29114,2.05973,1.97491,1.50051,3.46397e-06,3.46397e-06,3.46397e-06
5,1.81894,0,67.5678,0,0.71419,0.6,0.62748,0.29257,2.08597,1.99525,1.51723,4.5715e-06,4.5715e-06,4.5715e-06
6,2.16162,0,34.3535,0,0.7138,0.6,0.63684,0.29437,2.06768,1.95876,1.50487,5.65548e-06,5.65548e-06,5.65548e-06
7,2.50875,0,39.7957,0,0.7153,0.6,0.64018,0.2926,2.06555,1.93951,1.50158,6.71588e-06,6.71588e-06,6.71588e-06
8,2.87045,0,51.9461,0,0.71375,0.6,0.64072,0.30241,2.06532,1.94657,1.5001,7.75273e-06,7.75273e-06,7.75273e-06
9,3.231,0,34.6966,0,0.7113,0.6,0.64916,0.30745,2.06674,1.90762,1.50017,8.76602e-06,8.76602e-06,8.76602e-06
10,3.57531,0,31.8405,0,0.71037,0.6,0.64894,0.30745,2.07157,1.90143,1.50349,9.75574e-06,9.75574e-06,9.75574e-06
11,3.95955,0,30.4483,0,0.67463,0.6,0.65678,0.30816,2.05955,1.8655,1.50044,1.07219e-05,1.07219e-05,1.07219e-05
12,4.45509,0,32.8447,0,0.70666,0.6,0.6506,0.31404,2.04494,1.84433,1.48942,1.16645e-05,1.16645e-05,1.16645e-05
13,4.99136,0,41.7619,0,0.67291,0.6,0.66372,0.32715,2.03463,1.80505,1.48265,1.25835e-05,1.25835e-05,1.25835e-05
14,5.5274,0,29.6883,0,0.76792,0.66452,0.67373,0.344,2.03057,1.7776,1.4799,1.3479e-05,1.3479e-05,1.3479e-05
15,6.35247,0,26.4091,0,0.77009,0.67233,0.67697,0.33573,2.02423,1.75663,1.47383,1.43509e-05,1.43509e-05,1.43509e-05
16,6.95711,0,49.2591,0,0.76665,0.65995,0.69026,0.35423,1.98394,1.76936,1.46064,1.51993e-05,1.51993e-05,1.51993e-05
17,7.67224,0,26.0984,0,0.73928,0.7,0.70187,0.34508,1.9761,1.75775,1.45828,1.60241e-05,1.60241e-05,1.60241e-05
18,8.34279,0,19.5481,0,0.73928,0.7,0.70187,0.34508,1.9761,1.75775,1.45828,1.68253e-05,1.68253e-05,1.68253e-05
19,9.01407,0,28.007,0,0.65799,0.7,0.69018,0.34245,1.96659,1.73176,1.45393,1.7603e-05,1.7603e-05,1.7603e-05
