epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.9852,3.03949,2.41885,1.43135,0.22163,0.14897,0.14965,0.04867,3.10679,2.01207,1.50524,0.000662857,0.000662857,0.000662857
2,120.289,2.83347,1.64884,1.30373,0.47921,0.26422,0.30323,0.10124,2.6709,1.46917,1.31833,0.0013032,0.0013032,0.0013032
3,164.357,2.7114,1.56629,1.29684,0.42468,0.27375,0.28819,0.09466,2.6701,1.5968,1.30755,0.00191714,0.00191714,0.00191714
4,207.531,2.7067,1.54113,1.28506,0.50365,0.28953,0.33209,0.11264,2.56943,1.43059,1.28137,0.0018812,0.0018812,0.0018812
5,250.058,2.63957,1.49312,1.26306,0.52169,0.27764,0.33286,0.11576,2.57529,1.42134,1.27384,0.0018416,0.0018416,0.0018416
6,292.076,2.65211,1.51065,1.27076,0.53594,0.28931,0.34965,0.12388,2.53671,1.38193,1.29448,0.001802,0.001802,0.001802
7,334.755,2.63649,1.49488,1.26352,0.45601,0.27907,0.30842,0.10544,2.5787,1.43468,1.2693,0.0017624,0.0017624,0.0017624
8,376.961,2.5877,1.4774,1.26062,0.5329,0.29869,0.35469,0.12452,2.50245,1.38995,1.25882,0.0017228,0.0017228,0.0017228
9,419.626,2.5941,1.44748,1.25105,0.53386,0.31188,0.36021,0.1194,2.5574,1.37934,1.26151,0.0016832,0.0016832,0.0016832
10,463.271,2.59876,1.44087,1.25101,0.56993,0.31795,0.38245,0.13222,2.5221,1.3264,1.2586,0.0016436,0.0016436,0.0016436
11,506.248,2.58042,1.43258,1.24525,0.57725,0.32351,0.38753,0.13684,2.48392,1.31464,1.25762,0.001604,0.001604,0.001604
12,550.398,2.58594,1.42981,1.2394,0.58867,0.3172,0.38913,0.13819,2.49691,1.30676,1.24857,0.0015644,0.0015644,0.0015644
13,594.218,2.55183,1.40904,1.2335,0.55315,0.31011,0.37301,0.13164,2.50963,1.36194,1.24491,0.0015248,0.0015248,0.0015248
14,637.641,2.54981,1.40262,1.23146,0.56717,0.31668,0.37462,0.12647,2.51604,1.35888,1.25465,0.0014852,0.0014852,0.0014852
15,681.561,2.54618,1.40131,1.23359,0.59281,0.31094,0.38237,0.13532,2.49481,1.29614,1.24966,0.0014456,0.0014456,0.0014456
16,724.984,2.51407,1.38645,1.22276,0.55532,0.32023,0.37775,0.1309,2.49258,1.34876,1.23501,0.001406,0.001406,0.001406
17,768.841,2.52242,1.37578,1.21523,0.58071,0.31479,0.3837,0.13461,2.49151,1.30191,1.25567,0.0013664,0.0013664,0.0013664
18,811.495,2.51628,1.3742,1.2233,0.58072,0.32442,0.39291,0.1391,2.46623,1.30269,1.23716,0.0013268,0.0013268,0.0013268
19,854.557,2.50915,1.36495,1.21208,0.59679,0.32933,0.40247,0.14569,2.41596,1.28052,1.22329,0.0012872,0.0012872,0.0012872
20,897.045,2.48507,1.35699,1.2189,0.57185,0.33523,0.39654,0.13464,2.50128,1.30051,1.23318,0.0012476,0.0012476,0.0012476
21,940.149,2.48105,1.34934,1.20777,0.61379,0.32361,0.40232,0.14531,2.45285,1.27606,1.23097,0.001208,0.001208,0.001208
22,983.024,2.49217,1.35803,1.21035,0.61398,0.32375,0.40216,0.14619,2.43662,1.27369,1.22086,0.0011684,0.0011684,0.0011684
23,1026.01,2.48541,1.35255,1.2089,0.59506,0.3419,0.40934,0.14643,2.41907,1.26212,1.22391,0.0011288,0.0011288,0.0011288
24,1069.48,2.47526,1.33777,1.20897,0.60226,0.32939,0.4028,0.14428,2.4403,1.27486,1.21954,0.0010892,0.0010892,0.0010892
25,1113.56,2.46188,1.32453,1.20215,0.61722,0.3405,0.41806,0.15322,2.39814,1.25394,1.217,0.0010496,0.0010496,0.0010496
26,1156.88,2.4671,1.32849,1.19533,0.62611,0.33857,0.42061,0.15598,2.38559,1.24395,1.21559,0.00101,0.00101,0.00101
27,1200,2.44315,1.3121,1.20456,0.61596,0.33921,0.41817,0.1531,2.39749,1.25416,1.21287,0.0009704,0.0009704,0.0009704
28,1243.02,2.44629,1.3098,1.19844,0.63721,0.34563,0.42843,0.15764,2.38459,1.23555,1.21056,0.0009308,0.0009308,0.0009308
